ZIP CODE,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED
11226,15.0,0.0,0,0,15,0
11233,4.0,0.0,1,0,3,0
10179,0.0,0.0,0,0,0,0
10470,2.0,0.0,0,0,1,0
11105,0.0,1.0,0,0,0,1
11201,3.0,0.0,0,0,2,0
11412,7.0,0.0,0,0,7,0
11237,3.0,0.0,0,0,2,0
10461,2.0,1.0,0,0,2,1
11691,3.0,0.0,0,0,3,0
10467,3.0,0.0,0,0,3,0
10013,7.0,0.0,0,0,4,0
10014,7.0,0.0,0,0,7,0
11218,1.0,0.0,0,0,1,0
11219,0.0,1.0,0,1,0,0
10013,4.0,0.0,0,0,2,0
11212,3.0,0.0,0,0,2,0
11362,4.0,0.0,0,0,4,0
11430,1.0,0.0,0,0,1,0
11358,6.0,0.0,0,0,6,0
10028,5.0,0.0,0,0,5,0
11691,3.0,0.0,3,0,0,0
10026,2.0,0.0,1,0,1,0
10035,6.0,0.0,0,0,6,0
10010,6.0,0.0,0,0,6,0
10454,2.0,0.0,0,0,0,0
11212,0.0,0.0,0,0,0,0
11375,2.0,0.0,1,0,1,0
11433,6.0,0.0,0,0,6,0
11237,5.0,0.0,0,0,5,0
10459,14.0,0.0,0,0,14,0
11379,0.0,0.0,0,0,0,0
11228,1.0,1.0,0,0,1,0
11373,3.0,0.0,0,0,2,0
11421,2.0,0.0,0,0,1,0
11230,2.0,1.0,0,0,2,1
11213,0.0,1.0,0,0,0,0
11691,7.0,0.0,0,0,7,0
11434,16.0,0.0,0,0,16,0
11415,0.0,0.0,0,0,0,0
10472,0.0,1.0,0,1,0,0
11367,2.0,0.0,0,0,1,0
10010,4.0,1.0,1,0,1,0
10024,2.0,0.0,0,0,2,0
10453,2.0,0.0,2,0,0,0
11214,3.0,0.0,3,0,0,0
10460,0.0,1.0,0,0,0,1
11109,1.0,0.0,0,0,1,0
10463,3.0,0.0,0,0,1,0
11374,4.0,0.0,0,0,3,0
10474,0.0,0.0,0,0,1,0
10110,1.0,0.0,0,0,1,0
11416,3.0,0.0,0,0,0,0
10128,3.0,0.0,0,0,3,0
11436,5.0,0.0,0,0,5,0
11225,5.0,0.0,0,0,5,0
10310,0.0,1.0,0,0,0,1
11217,1.0,1.0,0,0,1,0
11040,4.0,0.0,0,0,4,0
11363,1.0,0.0,1,0,0,0
10017,2.0,0.0,0,0,1,0
10026,3.0,0.0,0,0,3,0
11203,2.0,1.0,0,0,2,1
11228,1.0,0.0,1,0,0,0
10457,7.0,0.0,0,0,7,0
10474,7.0,0.0,0,0,7,0
10463,1.0,1.0,0,0,1,1
10310,6.0,0.0,0,0,6,0
10007,1.0,0.0,0,0,0,0
10459,5.0,0.0,0,0,5,0
10005,3.0,0.0,0,0,3,0
11435,16.0,0.0,0,0,16,0
11217,4.0,0.0,0,0,4,0
11417,0.0,1.0,0,1,0,0
11378,4.0,0.0,0,0,2,0
11355,0.0,1.0,0,0,0,1
10168,1.0,0.0,1,0,0,0
10023,1.0,1.0,0,0,1,0
